ticker_market,market,name,country,ticket,index
MNDI.L,LSE (London Stock Exchange),Mondi,United Kingdom,MNDI,FTSE 100
NG.L,LSE (London Stock Exchange),National Grid plc,United Kingdom,NG,FTSE 100
NWG.L,LSE (London Stock Exchange),NatWest Group,United Kingdom,NWG,FTSE 100
NXT.L,LSE (London Stock Exchange),Next plc,United Kingdom,NXT,FTSE 100
PSON.L,LSE (London Stock Exchange),Pearson plc,United Kingdom,PSON,FTSE 100
PSH.L,LSE (London Stock Exchange),Pershing Square Holdings,United Kingdom,PSH,FTSE 100
PSN.L,LSE (London Stock Exchange),Persimmon,United Kingdom,PSN,FTSE 100
PHNX.L,LSE (London Stock Exchange),Phoenix Group,United Kingdom,PHNX,FTSE 100
PCT.L,LSE (London Stock Exchange),Polar Capital Technology Trust,United Kingdom,PCT,FTSE 100
PRU.L,LSE (London Stock Exchange),Prudential plc,United Kingdom,PRU,FTSE 100
RKT.L,LSE (London Stock Exchange),Reckitt,United Kingdom,RKT,FTSE 100
REL.L,LSE (London Stock Exchange),RELX,United Kingdom,REL,FTSE 100
RTO.L,LSE (London Stock Exchange),Rentokil Initial,United Kingdom,RTO,FTSE 100
RMV.L,LSE (London Stock Exchange),Rightmove,United Kingdom,RMV,FTSE 100
RIO.L,LSE (London Stock Exchange),Rio Tinto,United Kingdom,RIO,FTSE 100
RR.L,LSE (London Stock Exchange),Rolls-Royce Holdings,United Kingdom,RR,FTSE 100
SGE.L,LSE (London Stock Exchange),Sage Group,United Kingdom,SGE,FTSE 100
SBRY.L,LSE (London Stock Exchange),Sainsbury's,United Kingdom,SBRY,FTSE 100
SDR.L,LSE (London Stock Exchange),Schroders,United Kingdom,SDR,FTSE 100
SMT.L,LSE (London Stock Exchange),Scottish Mortgage Investment Trust,United Kingdom,SMT,FTSE 100
SGRO.L,LSE (London Stock Exchange),Segro,United Kingdom,SGRO,FTSE 100
SVT.L,LSE (London Stock Exchange),Severn Trent,United Kingdom,SVT,FTSE 100
SHEL.L,LSE (London Stock Exchange),Shell plc,United Kingdom,SHEL,FTSE 100
SMIN.L,LSE (London Stock Exchange),Smiths Group,United Kingdom,SMIN,FTSE 100
SN.L,LSE (London Stock Exchange),Smith & Nephew,United Kingdom,SN,FTSE 100
SPX.L,LSE (London Stock Exchange),Spirax Group,United Kingdom,SPX,FTSE 100
SSE.L,LSE (London Stock Exchange),SSE plc,United Kingdom,SSE,FTSE 100
STAN.L,LSE (London Stock Exchange),Standard Chartered,United Kingdom,STAN,FTSE 100
STJ.L,LSE (London Stock Exchange),St. James's Place,United Kingdom,STJ,FTSE 100
TW.L,LSE (London Stock Exchange),Taylor Wimpey,United Kingdom,TW,FTSE 100
TSCO.L,LSE (London Stock Exchange),Tesco,United Kingdom,TSCO,FTSE 100
ULVR.L,LSE (London Stock Exchange),Unilever,United Kingdom,ULVR,FTSE 100
UU.L,LSE (London Stock Exchange),United Utilities,United Kingdom,UU,FTSE 100
UTG.L,LSE (London Stock Exchange),Unite Group,United Kingdom,UTG,FTSE 100
VOD.L,LSE (London Stock Exchange),Vodafone Group,United Kingdom,VOD,FTSE 100
WEIR.L,LSE (London Stock Exchange),Weir Group,United Kingdom,WEIR,FTSE 100
WTB.L,LSE (London Stock Exchange),Whitbread,United Kingdom,WTB,FTSE 100
WPP.L,LSE (London Stock Exchange),WPP,United Kingdom,WPP,FTSE 100
